"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","JLCPCB"
"BT4,BT5,BT6","3","Battery","","","","",""
"BZ2","1","Buzzer","","","","",""
"C1,C2,C3,C4","4","C_Polarized","","","","Components_local:CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD","https://jlcpcb.com/partdetail/DMBJ-RVT1H101M0810_100UF50V/C970687,https://jlcpcb.com/partdetail/DMBJ-RVT1H101M0810_100UF50V/C970687 "
"C_O1,C_O3,C_O4","3","C_Polarized","","","","Components_local:CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD","https://jlcpcb.com/partdetail/DMBJ-RVT1H101M0810_100UF50V/C970687 "
"C_O2","1","C_Polarized","","","","Components_local:CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD","https://jlcpcb.com/partdetail/DMBJ-RVT1H221M1010_220UF50V/C970698 "
"C_T1,C_T2,C_T3,C_T4","4","C","","","","Components_local:C0603","https://jlcpcb.com/partdetail/1946-0603B151K500NT/C1594,https://jlcpcb.com/partdetail/1979-0603B561K500NT/C1627 ,https://jlcpcb.com/partdetail/1982-0603B681K500NT/C1630 ,https://jlcpcb.com/partdetail/1995-0603CG121J500NT/C1643"
"D1,D2,D3,D4,D10,D11,D12","7","1N5822","","","","Components_local:SMA_L4.3-W2.6-LS5.2-RD","https://jlcpcb.com/partdetail/MDD_Microdiode_Semiconductor-SS34/C8678 "
"D20,D21","2","LED","","","","",""
"F1","1","Fuse","","","","",""
"J1","1","HDMI_A","","","","",""
"J2","1","SKSM V1.0","","","","",""
"J3","1","Conn_aviateur in","","","","",""
"J4","1","HDMI_C_1.3","","","","",""
"J5,J7","2","USB_OTG","","","","",""
"J6","1","USB_A","","","","",""
"J8","1","Adaptateur 220V-12V","","","","",""
"J9","1","Conn_aviateur out","","","","",""
"J10","1","BMS_3S","","","","",""
"L1","1","L1","","","","Components_local:IND-SMD_L12.3-W12.3_SMDRI127","https://jlcpcb.com/partdetail/10690-SMDRI127101MT/C10150 "
"L2","1","L2","","","","Components_local:IND-SMD_L12.3-W12.3_SMDRI127","https://jlcpcb.com/partdetail/10690-SMDRI127101MT/C10150 "
"L3","1","L3","","","","Components_local:IND-SMD_L12.3-W12.3_SMDRI127","https://jlcpcb.com/partdetail/10690-SMDRI127101MT/C10150 "
"L4","1","L4","","","","Components_local:IND-SMD_L12.3-W12.3","https://jlcpcb.com/partdetail/22042-SMDRI127151MT/C21325 "
"L10","1","Solénoïde","","","","",""
"Q1","1","Q_NMOS_GSD","","","","Components_local:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://jlcpcb.com/partdetail/Alpha_OmegaSemicon-AO3400A/C20917 "
"R1,R2,R3,R11,R12,R21,R22,R31,R32","9","R","","","","Components_local:R0805","https://jlcpcb.com/partdetail/1717-0805W8J0362T5E/C1365 ,https://jlcpcb.com/partdetail/18067-0805W8F1201T5E/C17379 ,https://jlcpcb.com/partdetail/18143-0805W8F1302T5E/C17455 ,https://jlcpcb.com/partdetail/18318-0805W8F3300T5E/C17630 ,https://jlcpcb.com/partdetail/4717-0805W8F1501T5E/C4310 "
"R30","1","R30","","","","Components_local:R1206","https://jlcpcb.com/partdetail/18612-1206W4F1800T5E/C17924 "
"R40","1","R40","","","","Components_local:R1206","https://jlcpcb.com/partdetail/18612-1206W4F1800T5E/C17924 "
"R41","1","R","","","","Components_local:R1206","https://jlcpcb.com/partdetail/1821-1206W4J0102T5E/C1469 "
"R42","1","R","","","","Components_local:R0402","https://jlcpcb.com/partdetail/RALEC-RTT029101FTH/C4968 "
"R_PD1","1","R","","","","Components_local:R1206","https://jlcpcb.com/partdetail/1841-1206W4J0103T5E/C1489 "
"R_SC1,R_SC2,R_SC4","3","R","","","","Components_local:R1206","https://jlcpcb.com/partdetail/18587-1206W4F150KT5E/C17899 ,https://jlcpcb.com/partdetail/26080-1206W4F330LT5E/C25337 "
"R_SC3","1","R","","","","Components_local:R0603","https://jlcpcb.com/partdetail/24144-0603WAF470LT5E/C23411 "
"SW1","1","Interupteur","","","","",""
"U1","1","Regulator 12V-5V","","","","Components_local:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","https://jlcpcb.com/partdetail/TexasInstruments-MC34063ADR/C100023 "
"U2","1","Regulator 11.1V-5V","","","","Components_local:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","https://jlcpcb.com/partdetail/TexasInstruments-MC34063ADR/C100023 "
"U3","1","Regulator 11.1V-12V","","","","Components_local:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","https://jlcpcb.com/partdetail/TexasInstruments-MC34063ADR/C100023 "
"U4","1","Regulator 12V-12.6V","","","","Components_local:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","https://jlcpcb.com/partdetail/TexasInstruments-MC34063ADR/C100023 "
"U10","1","RASPBERRY_PI_ZERO_2_W","","","","",""
"U15","1","Capteur magnetic","","","","",""
"U20","1","PN532","","","","",""
