Designator,Footprint,Quantity,Value,LCSC Part #
C1. C2. C3. C4. C_O1. C_O3. C_O4,CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,7,C_Polarized,C970687
C_O2,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,C_Polarized,C970698
C_T1,C0603,1,C,C1627
 C_T2,C0603,1,C,C1630
C_T3,C0603,1,C,C1594
C_T4,C0603,1,C,C1643
D1. D10. D11. D2. D3. D4,SMA_L4.3-W2.6-LS5.2-RD,6,1N5822,SS34
L1.L2.L3,IND-SMD_L12.3-W12.3_SMDRI127,3,L,C10150
L4,IND-SMD_L12.3-W12.3,1,L4,C21325
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,Q_NMOS_GSD,C20917
R1.R2.R3.R4, R0805,1,R, C17630
R11.R21, R0805,1,R, C17379
R12.R22, R0805,1,R,C1365
R30.R40,R1206,1,R30,C17924
R31, R0805,1,R, C4310
R32, R0805,1,R, C17455
R41,R1206,1,R, C1469
R42,R0603,1,R,C2684583
R_PD1,R1206,1,R, C1489
R_SC1.R_SC2,R1206,1,R, C25337
R_SC3,R0603,1,R, C23411
R_SC4,R1206,1,R, C17899
U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,Regulator 12V-5V,C32078
U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,Regulator 11.1V-5V,C32078
U3,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,Regulator 11.1V-12V,C32078
U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,Regulator 12V-12.6V,C32078
U5,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-BL,1,LTV-817,C125121
U?_10. U?_9. U?_8. U?_7. U?_6. U?_5. U?_4. U?,CONN-TH_XH-2A,8,CONN-TH_XH-2A,C20079
U?_3,CONN-TH_4P-P2.50_XH-4A,1,CONN-TH_4P-P2.50_XH-4A,C37815
U?_2,CONN-TH_XH-3A,1,CONN-TH_XH-3A,C2316
