Designator,Mid X,Mid Y,Rotation,Layer
C1,178.315,-88.9,0.0,top
C2,128.5,-93.98,0.0,top
C3,112.5,-92.0,180.0,top
C4,179.0,-80.01,0.0,top
C_O1,155.455,-127.0,0.0,top
C_O2,125.73,-124.46,180.0,top
C_O3,162.0,-75.0,90.0,top
C_O4,118.0,-75.0,180.0,top
C_T1,167.0,-110.9,270.0,top
C_T2,113.5,-103.5,180.0,top
C_T3,137.16,-98.298,90.0,top
C_T4,154.5,-105.0,180.0,top
D1,161.5,-117.0,270.0,top
D10,162.0,-86.0,0.0,top
D11,139.0,-79.0,90.0,top
D2,139.7,-107.95,0.0,top
D3,162.0,-82.5,180.0,top
D4,120.0,-81.5,180.0,top
L1,153.0,-114.47,270.0,top
L2,140.0,-117.01,270.0,top
L3,121.0,-111.5,0.0,top
L4,156.5,-94.5,180.0,top
Q1,143.5,-78.42,180.0,top
R1,147.32,-80.01,270.0,top
R11,170.18,-119.38,0.0,top
R12,163.83,-121.92,0.0,top
R2,142.51,-73.66,180.0,top
R21,148.59,-133.35,270.0,top
R22,148.59,-128.27,270.0,top
R3,137.43,-73.66,180.0,top
R30,130.0,-109.0,90.0,top
R31,156.0,-75.5,90.0,top
R32,155.5,-79.5,180.0,top
R4,145.796,-91.186,90.0,top
R40,165.0,-97.694,270.0,top
R41,161.45,-109.45,270.0,top
R42,126.2465,-73.66,0.0,top
R_PD1,149.86,-76.2,0.0,top
R_SC1,171.0,-96.5,90.0,top
R_SC2,121.412,-94.488,90.0,top
R_SC3,113.5,-86.5,0.0,top
R_SC4,167.5,-96.0,90.0,top
U1,171.0,-104.95,180.0,top
U2,120.5,-102.0,180.0,top
U3,132.5,-103.5,0.0,top
U4,160.0,-104.0,180.0,top
U5,141.478,-96.266,0.0,top
U?_10,151.13,-69.85,270.0,top
U?_9,130.81,-85.09,180.0,top
U?_8,143.51,-128.251,270.0,top
U?_7,185.42,-71.139,270.0,top
U?_6,137.16,-128.251,90.0,top
U?_5,130.829,-78.74,0.0,top
U?_4,170.18,-71.101,270.0,top
U?_3,139.7595,-68.58,180.0,top
U?_2,144.0,-86.5,0.0,top
U?,177.8,-71.101,270.0,top
